"filename", "language", "pip requirements", "JSON with Comments", "HTML", "Python", "Properties", "Batch", "CSS", "JavaScript", "JSON", "PowerShell", "XML", "C++", "comment", "blank", "total"
"f:\Inframind\Modules\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\Inframind\Modules\env\Lib\site-packages\easy_install.py", "Python", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 6
"f:\Inframind\Modules\env\Lib\site-packages\pip\__init__.py", "Python", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"f:\Inframind\Modules\env\Lib\site-packages\pip\__main__.py", "Python", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 20
"f:\Inframind\Modules\env\Lib\site-packages\pip\_internal\__init__.py", "Python", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 19, 14, 78
"f:\Inframind\Modules\env\Lib\site-packages\pip\_internal\build_env.py", "Python", 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 23, 34, 219
"f:\Inframind\Modules\env\Lib\site-packages\pip\_internal\cache.py", "Python", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 70, 44, 225
"f:\Inframind\Modules\env\Lib\site-packages\pip\_internal\cli\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 5
"f:\Inframind\Modules\env\Lib\site-packages\pip\_internal\cli\autocompletion.py", "Python", 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 38, 16, 153
"f:\Inframind\Modules\env\Lib\site-packages\pip\_internal\cli\base_command.py", "Python", 0, 0, 0, 254, 0, 0, 0, 0, 0, 0, 0, 0, 44, 49, 347
"f:\Inframind\Modules\env\Lib\site-packages\pip\_internal\cli\cmdoptions.py", "Python", 0, 0, 0, 670, 0, 0, 0, 0, 0, 0, 0, 0, 130, 132, 932
"f:\Inframind\Modules\env\Lib\site-packages\pip\_internal\cli\main_parser.py", "Python", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 20, 26, 99
"f:\Inframind\Modules\env\Lib\site-packages\pip\_internal\cli\parser.py", "Python", 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 48, 52, 262
"f:\Inframind\Modules\env\Lib\site-packages\pip\_internal\cli\status_codes.py", "Python", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"f:\Inframind\Modules\env\Lib\site-packages\pip\_internal\commands\__init__.py", "Python", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18, 82
"f:\Inframind\Modules\env\Lib\site-packages\pip\_internal\commands\check.py", "Python", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 42
"f:\Inframind\Modules\env\Lib\site-packages\pip\_internal\commands\completion.py", "Python", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 29, 12, 95
"f:\Inframind\Modules\env\Lib\site-packages\pip\_internal\commands\configuration.py", "Python", 0, 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 33, 41, 259
"f:\Inframind\Modules\env\Lib\site-packages\pip\_internal\commands\debug.py", "Python", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 9, 26, 115
"f:\Inframind\Modules\env\Lib\site-packages\pip\_internal\commands\download.py", "Python", 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 19, 27, 169
"f:\Inframind\Modules\env\Lib\site-packages\pip\_internal\commands\freeze.py", "Python", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 102
"f:\Inframind\Modules\env\Lib\site-packages\pip\_internal\commands\hash.py", "Python", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 58
"f:\Inframind\Modules\env\Lib\site-packages\pip\_internal\commands\help.py", "Python", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 38
