date,tweet,user,place
2021-02-11 12:41:18,b'Samsung Galaxy Tab S7 \xe2\x80\x93 Tablet Android WiFi de 11.0\xe2\x80\xb3 I 128 GB I S\xc2\xa0Pe https://t.co/fabZ6AFElb',b'sexotube1',b'Espa\xc3\xb1a'
2021-02-11 12:41:18,b'Samsung Galaxy Tab S7 \xe2\x80\x93 Tablet Android WiFi de 11.0\xe2\x80\xb3 I 128 GB I S\xc2\xa0Pe https://t.co/ohJjqH60Sj',b'noticieroporno',b''
2021-02-11 12:41:04,"b'SAMSUNG Galaxy Tab S6 Lite \xe2\x80\x93 Tablet de 10.4\xe2\x80\x9d (WiFi, Procesador\xc2\xa0Exy https://t.co/yhvmLaZLeK'",b'sexotube1',b'Espa\xc3\xb1a'
2021-02-11 12:41:04,"b'SAMSUNG Galaxy Tab S6 Lite \xe2\x80\x93 Tablet de 10.4\xe2\x80\x9d (WiFi, Procesador\xc2\xa0Exy https://t.co/Dg0knP1Vqe'",b'noticieroporno',b''
2021-02-11 12:41:02,b'@_tovaro HAHAHAHAHAHAHA FUCKING PHILZA MINECRAFT x SAMSUNG SMART RIDGE THATS SP FUCKING FUNNY DUDE',b'cross_066',b'2004 | she/her'
2021-02-11 12:41:00,"b'SAMSUNG Galaxy Tab A 7 | Tablet de 10.4\xe2\x80\xb3 (WiFi, Procesador\xc2\xa0Octa-Cor https://t.co/sp13db39bB'",b'sexotube1',b'Espa\xc3\xb1a'
2021-02-11 12:40:59,"b'SAMSUNG Galaxy Tab A 7 | Tablet de 10.4\xe2\x80\xb3 (WiFi, Procesador\xc2\xa0Octa-Cor https://t.co/myuq96ifWs'",b'noticieroporno',b''
2021-02-11 12:40:31,"b""Accidentally deleted a photo or video on your Galaxy phone? There's no need to worry; Samsung has an easy system in\xe2\x80\xa6 https://t.co/TPxImRtc7h""",b'slideme',"b'Seattle, USA'"
2021-02-11 12:40:26,b'Samsung\xe2\x80\x99s Galaxy S21 is sleek with a new wraparound metal design - https://t.co/2Ip7AGfbtO]\xe2\x80\xa6 https://t.co/7W3JzllseB',b'isearch247',b''
2021-02-11 12:40:23,"b""We need a new economy. It's Economic liberalism, but Economic liberalism with a Samsung Galaxy Tab 2.""",b'mcdonnellbot',b'http://cheapbotsdonequick.com/'
2021-02-11 12:40:11,"b'@dvm_Moscow Samsung S(6 Edge, 7 Edge, 8, 9)'",b'vesti_s_polej',b'Germany'
2021-02-11 12:40:10,"b'Former Maine police officer accused of selling drugs from cruiser, sometimes while on duty\n\nhttps://t.co/nktmcHVc4O\xe2\x80\xa6 https://t.co/TFsU1el1BA'",b'Kenneth83146228',b''
2021-02-11 12:39:27,b'Finally Samsung launching #GalaxyA52 and #GalaxyA72 midrange phone with high refresh rate display\nGalaxy A52 5G =12\xe2\x80\xa6 https://t.co/t9SyzMyUTk',b'galaxymobile111',b'New Delhi'
2021-02-11 12:39:14,b'Samsung\xe2\x80\x99s Galaxy S21 is sleek with a new wraparound metal\xc2\xa0design https://t.co/dI6WzbQ2xf',b'ali_imran2010',"b'Islamabad, Pakistan'"
2021-02-11 12:39:13,"b""@Samsung_par0dy I'm just helping them commit suicide faster""",b'3Plantey2',b'CrappleLand'
2021-02-11 12:39:10,b'Why did I think Samsung only makes phones or refrigerators ... https://t.co/qeIuGCNrOb',b'diehyping',"b""JK's knuckles"""
2021-02-11 12:39:09,b'#Samsung also made a huge design change with the materials used to build the Galaxy S21 Plus. Instead of glass back\xe2\x80\xa6 https://t.co/TCCSSQrx1M',b'iTasbiaHassan',"b'lahore,pakistan'"
2021-02-11 12:39:04,b'How to recover deleted photos and videos on your Samsung Galaxy phone https://t.co/F7gY8O3KXa https://t.co/lMaRIlxj1Y',b'forlitke',b'from San Francisco CA'
2021-02-11 12:39:02,b'Valentine\xe2\x80\x99s Day Accessories Collection for Apple &amp; Samsung Products Goes Live\xc2\xa0 https://t.co/WOGMzdiIJK https://t.co/m1m0f9rdzY',b'wccftech',b'Global'
2021-02-11 12:39:01,"b'@SamsungIndia ""8K Video Snap"" \n\nS21 line has ""8K video snap"" and also includes a new motion view that lets grab th\xe2\x80\xa6 https://t.co/ZWkkLNOFae'",b'nitupapakipari',"b'Jaipur, India'"
